accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_f,instant_bookable_t,room_type_Home_or_apt,room_type_Privateroom,room_type_Sharedroom
5,1,3,1,1,1,52.3474774,5.008620776,7,0,8.20479797,1,0,1,0,0
2,1,0,1,1,1,52.35051303,4.85497218,3,33,4.388135956,1,0,1,0,0
2,1,1,1,2,1,52.39208411,4.934712852,1,106,2.789217147,1,0,1,0,0
2,1,0,1,1,1,52.36290163,4.907508851,1,3,1.891093263,1,0,1,0,0
4,1,1,1,3,1,52.36226442,4.859479834,1,14,3.299161758,1,0,0,1,0
4,1.5,2,1,1,1,52.36274663,4.872623299,2,1,2.578106338,1,0,1,0,0
4,1,2,1,1,1,52.31943127,4.978261361,1,11,8.528238914,1,0,1,0,0
2,1,0,1,1,1,52.37452664,4.856923966,1,3,2.929767663,1,0,1,0,0
4,1.5,2,1,2,1,52.36254174,4.944960525,2,14,3.600621271,1,0,1,0,0
2,1,1,1,1,1,52.37340035,4.847668903,2,0,3.569915383,1,0,1,0,0
5,1,2,1,3,1,52.37100141,4.929573822,4,6,2.238186768,1,0,1,0,0
2,1,1,1,1,1,52.37152703,4.897809238,3,43,0.85851597,0,1,1,0,0
2,1,0,3,1,3,52.3700384,4.880055443,1,3,1.661874633,1,0,1,0,0
2,1,1,1,4,1,52.39773354,4.914819175,3,10,2.309958947,1,0,0,1,0
4,1,2,1,1,1,52.3630369,4.906438521,4,6,1.856803745,1,0,1,0,0
2,1,1,1,1,1,52.36442709,4.927802325,4,3,2.529054091,1,0,1,0,0
2,1,1,1,1,1,52.36909855,4.918341294,5,8,1.703875387,1,0,1,0,0
4,1,1,1,3,1,52.36313571,4.863890453,4,43,2.999466809,0,1,1,0,0
4,1,1,1,2,1,52.36294468,4.863634841,5,50,3.026045906,1,0,1,0,0
2,1,1,1,1,1,52.36626192,4.874628015,3,34,2.212514352,1,0,0,1,0
4,2,3,1,2,1,52.37397431,4.939552449,2,7,2.782780305,1,0,1,0,0
3,1,1,1,2,1,52.39652287,4.995234116,3,1,6.776983933,1,0,1,0,0
2,1.5,1,1,1,1,52.36163564,4.865832618,3,7,3.000233361,1,0,1,0,0
4,1,2,1,1,1,52.37645923,4.847931792,2,25,3.506672252,1,0,1,0,0
2,1,0,1,1,1,52.39304802,4.924515567,2,87,2.294861145,0,1,1,0,0
2,1,0,1,1,1,52.35774873,4.912486965,2,8,2.541909347,1,0,1,0,0
2,1,1,2,1,2,52.37768866,4.857430736,2,28,2.85398626,0,1,0,1,0
4,0.5,2,1,2,1,52.35655765,4.888105783,2,47,2.629690926,1,0,1,0,0
2,1,1,2,1,2,52.37834572,4.890651304,2,282,0.602898586,1,0,0,1,0
4,1,3,1,4,1,52.37462026,4.8686746,2,20,2.147332525,1,0,1,0,0
3,1,3,2,4,2,52.36097563,4.927944094,3,1,2.799817349,1,0,1,0,0
2,1,1,1,1,1,52.36398949,4.929451153,4,6,2.645984443,1,0,1,0,0
5,1,2,1,2,1,52.36413049,4.926943007,1,2,2.506853369,1,0,1,0,0
2,1,1,1,1,1,52.36522504,4.861961322,2,6,2.978317063,1,0,1,0,0
1,1,1,10,1,11,52.37175219,4.865339702,28,4,2.455975377,1,0,0,1,0
3,1,1,1,2,1,52.3891523,4.889407017,2,0,1.299264118,1,0,1,0,0
4,2,3,1,4,1,52.37133861,4.944165555,4,0,3.157709079,1,0,1,0,0
3,1,2,1,3,2,52.35905743,4.876319635,4,1,2.731971599,1,0,1,0,0
4,1.5,2,1,1,1,52.35435004,4.991052331,3,2,6.802045867,1,0,1,0,0
2,1,1,1,2,1,52.36763213,4.945865806,2,12,3.402006642,1,0,1,0,0
2,1,1,1,1,1,52.34668638,4.898475603,4,2,3.612438927,1,0,1,0,0
2,1.5,1,1,1,1,52.36890699,4.874737391,1,2,2.027818339,1,0,0,1,0
1,1,1,1,1,1,52.32383606,4.962745099,1,16,7.503674163,1,0,0,1,0
2,1,1,1,1,1,52.35862315,4.922746425,3,2,2.779489073,0,1,1,0,0
2,1,1,1,1,1,52.36179619,4.881223228,2,4,2.293847802,1,0,1,0,0
2,1,1,1,1,1,52.35693835,4.887493137,12,25,2.601900498,1,0,1,0,0
3,1,1,1,2,1,52.3603013,4.92707093,2,3,2.81465299,1,0,1,0,0
2,1,1,1,1,1,52.3670029,4.925559713,1,5,2.230733155,1,0,0,1,0
4,1,2,1,2,1,52.36297515,4.867206697,2,34,2.833081265,1,0,1,0,0
4,1,2,1,1,1,52.36821062,4.94167108,4,5,3.11456306,1,0,1,0,0
2,1,1,1,2,1,52.37013751,4.892840774,5,50,1.100735585,1,0,1,0,0
4,1.5,2,3,2,3,52.37359097,4.877201237,2,0,1.63130841,1,0,1,0,0
2,1.5,1,11,2,22,52.38255638,4.889720958,7,21,0.757526097,1,0,1,0,0
2,1,1,6,1,6,52.37719883,4.874471034,3,31,1.707565558,1,0,0,1,0
2,1.5,1,3,2,3,52.36685133,4.882141978,3,11,1.804309437,1,0,0,1,0
2,1,1,13,1,13,52.34267672,4.843895248,2,1,5.537738756,1,0,0,1,0
2,1,1,2,1,2,52.36108253,4.935737325,2,0,3.180635531,1,0,0,1,0
2,1,1,1,1,1,52.36526477,4.868071951,3,55,2.630729717,1,0,0,1,0
2,1,1,1,1,1,52.3657082,4.907193645,2,6,1.587934248,1,0,1,0,0
2,1,1,1,1,1,52.36148632,4.875853545,2,17,2.535529564,1,0,0,1,0
2,1,1,2,1,2,52.37342974,4.899727471,1,0,0.640314483,1,0,0,1,0
4,1,2,2,1,2,52.37042163,4.892105631,3,19,1.09370118,1,0,1,0,0
3,1,1,1,2,1,52.36899883,4.93871386,3,2,2.895637944,1,0,1,0,0
3,1,1,1,2,1,52.36845706,4.934156886,5,26,2.640552296,1,0,1,0,0
1,1,1,1,1,1,52.32610993,4.881728809,3,1,6.0195542,0,1,0,1,0
4,1,1,1,2,1,52.37077678,4.85685045,2,23,3.036193111,1,0,1,0,0
2,1,1,1,1,1,52.36804941,4.855859675,3,56,3.204739367,1,0,0,1,0
2,1,1,1,1,1,52.35758682,4.912887775,1,4,2.568323918,1,0,1,0,0
4,1,1,2,2,2,52.3645652,4.863906466,3,21,2.906862652,0,1,1,0,0
5,2.5,3,1,1,1,52.35973956,4.795651343,4,0,7.365621721,0,1,1,0,0
